Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
10/30/2014, Florida State, 173, 30, 401, 48, 25, 7, 53, 0, 3, 25, 16, 9, 1, 0, 1706, 42, Louisville, 158, 33, 330, 38, 20, 3, 14, 1, 1, 24, 11, 1, 2, 0, 1911, 31
10/30/2014, Troy, 141, 33, 13, 11, 4, 4, 45, 1, 0, 9, 10, 2, 1, 1, 1277, 10, Georgia Southern, 421, 63, 40, 10, 6, 3, 25, 2, 0, 28, 13, 10, 2, 2, 2323, 42
10/31/2014, Cincinnati, 265, 35, 214, 26, 17, 5, 35, 1, 2, 21, 12, 6, 1, 1, 1779, 38, Tulane, 175, 33, 205, 35, 24, 4, 51, 1, 0, 21, 13, 3, 2, 0, 1821, 14
10/31/2014, Tulsa, 62, 34, 349, 54, 28, 11, 111, 0, 0, 22, 20, 8, 2, 0, 2011, 20, Memphis, 243, 41, 183, 31, 18, 4, 40, 1, 0, 23, 17, 6, 0, 0, 1556, 40
11/01/2014, Air Force, 242, 62, 141, 12, 8, 1, 5, 0, 1, 21, 18, 8, 3, 2, 2144, 23, Army, 122, 38, 47, 13, 3, 3, 41, 1, 0, 8, 12, 1, 2, 1, 1419, 6
11/01/2014, Northwestern, 105, 43, 75, 24, 9, 5, 53, 1, 0, 13, 15, 4, 2, 1, 1623, 7, Iowa, 221, 46, 262, 25, 17, 5, 35, 1, 0, 24, 14, 9, 1, 0, 1977, 48
11/01/2014, Maryland, 31, 31, 161, 38, 18, 6, 87, 2, 0, 15, 15, 1, 0, 0, 1643, 20, Penn State, 42, 41, 177, 42, 18, 8, 64, 3, 1, 16, 20, 6, 2, 1, 1932, 19
11/01/2014, Wisconsin, 298, 46, 87, 20, 8, 7, 56, 0, 1, 16, 15, 5, 1, 1, 2116, 37, Rutgers, 76, 29, 63, 27, 7, 4, 35, 0, 1, 8, 15, 3, 1, 0, 1445, 0
11/01/2014, Rice, 169, 38, 230, 25, 11, 2, 15, 0, 0, 17, 14, 6, 1, 0, 1699, 31, Florida International, 102, 46, 159, 23, 10, 5, 30, 2, 0, 14, 18, 7, 1, 0, 1824, 17
11/01/2014, UCF, 145, 37, 284, 42, 22, 8, 89, 0, 4, 23, 16, 6, 2, 0, 1821, 29, Connecticut, 179, 40, 148, 28, 14, 10, 102, 1, 0, 16, 15, 4, 2, 2, 1779, 37
11/01/2014, East Carolina, 211, 46, 217, 42, 24, 12, 116, 5, 0, 30, 16, 9, 2, 0, 1859, 10, Temple, 65, 37, 70, 19, 7, 7, 65, 0, 0, 10, 14, 4, 0, 0, 1730, 20
11/01/2014, Duke, 172, 27, 266, 31, 23, 3, 20, 0, 0, 25, 8, 4, 0, 0, 1132, 51, Pittsburgh, 358, 65, 236, 24, 16, 8, 61, 0, 0, 37, 13, 9, 1, 0, 2468, 48
11/01/2014, Oklahoma, 510, 59, 241, 43, 23, 5, 60, 0, 3, 41, 12, 6, 2, 0, 2182, 59, Iowa State, 87, 31, 247, 45, 17, 4, 40, 1, 0, 17, 19, 6, 2, 0, 1370, 14
11/01/2014, Louisiana-Monroe, 78, 30, 269, 49, 28, 4, 20, 0, 1, 19, 19, 7, 3, 2, 2027, 16, Texas A&M, 137, 41, 106, 28, 13, 2, 26, 1, 1, 16, 17, 7, 2, 2, 1573, 21
11/01/2014, North Carolina, 11, 32, 247, 38, 24, 5, 28, 1, 1, 17, 15, 5, 4, 0, 1499, 20, Miami (Florida), 295, 49, 199, 19, 12, 6, 45, 1, 0, 23, 13, 6, 1, 1, 2101, 47
11/01/2014, Boston College, 258, 47, 110, 15, 8, 3, 20, 0, 0, 11, 13, 3, 1, 0, 1886, 33, Virginia Tech, 69, 29, 345, 49, 31, 6, 40, 1, 0, 17, 20, 7, 5, 4, 1668, 31
11/01/2014, Central Michigan, 278, 55, 223, 23, 18, 5, 41, 1, 1, 27, 13, 5, 3, 2, 2406, 38, Eastern Michigan, 21, 29, 76, 19, 7, 4, 19, 1, 1, 5, 13, 3, 2, 0, 1194, 7
11/01/2014, Washington, 236, 40, 206, 19, 13, 3, 24, 3, 0, 14, 11, 2, 1, 1, 1484, 38, Colorado, 181, 37, 314, 52, 36, 5, 39, 3, 1, 24, 21, 11, 3, 2, 2091, 23
