Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
10/02/2014, UCF, 127, 37, 101, 18, 6, 10, 90, 1, 0, 10, 14, 5, 0, 0, 1663, 17, Houston, 117, 33, 214, 43, 22, 11, 99, 1, 2, 20, 17, 6, 2, 1, 1937, 12
10/02/2014, Florida Atlantic, 158, 30, 225, 42, 19, 4, 40, 3, 1, 22, 14, 5, 2, 1, 1685, 10, Florida International, 185, 41, 160, 29, 18, 8, 51, 1, 0, 20, 14, 6, 1, 1, 1915, 38
10/02/2014, Arizona, 208, 55, 287, 31, 20, 9, 78, 1, 1, 29, 17, 9, 2, 1, 2012, 31, Oregon, 144, 41, 302, 33, 21, 10, 79, 2, 0, 25, 14, 4, 3, 2, 1588, 24
10/03/2014, Louisville, 178, 48, 174, 22, 12, 9, 75, 1, 1, 18, 16, 7, 0, 0, 2218, 28, Syracuse, 44, 26, 201, 37, 17, 7, 60, 0, 2, 14, 16, 5, 0, 0, 1382, 6
10/03/2014, San Diego State, 186, 45, 84, 24, 9, 7, 64, 1, 2, 17, 15, 6, 2, 1, 1822, 13, Fresno State, 172, 43, 143, 28, 14, 4, 37, 1, 1, 16, 18, 9, 1, 1, 1717, 24
10/03/2014, Utah State, 136, 46, 321, 25, 19, 12, 105, 1, 0, 22, 15, 5, 0, 0, 2254, 35, BYU, 154, 34, 271, 40, 18, 9, 60, 1, 3, 23, 13, 4, 1, 0, 1316, 20
10/04/2014, Florida, 156, 48, 76, 27, 13, 5, 45, 0, 3, 16, 20, 7, 0, 0, 1890, 10, Tennessee, 28, 29, 205, 39, 26, 8, 49, 1, 2, 12, 17, 5, 1, 1, 1710, 9
10/04/2014, Texas A&M, 161, 31, 365, 62, 37, 5, 38, 0, 3, 28, 17, 5, 3, 1, 1781, 31, Mississippi State, 280, 50, 279, 27, 21, 3, 20, 2, 0, 26, 11, 5, 0, 0, 1819, 48
10/04/2014, SMU, 51, 18, 339, 67, 42, 2, 15, 0, 1, 25, 17, 4, 6, 5, 1882, 24, East Carolina, 171, 33, 410, 41, 31, 5, 53, 1, 0, 30, 10, 6, 1, 0, 1718, 45
10/04/2014, Iowa State, 122, 33, 200, 39, 17, 3, 45, 0, 0, 17, 20, 10, 1, 0, 1813, 20, Oklahoma State, 129, 42, 271, 41, 26, 7, 40, 0, 2, 25, 19, 10, 1, 1, 1776, 37
10/04/2014, Purdue, 349, 45, 202, 20, 15, 6, 64, 0, 0, 19, 14, 7, 2, 1, 1960, 38, Illinois, 65, 25, 450, 53, 36, 2, 20, 1, 1, 26, 16, 11, 2, 0, 1640, 27
10/04/2014, Marshall, 354, 50, 237, 27, 21, 6, 54, 1, 2, 28, 11, 8, 2, 1, 1860, 56, Old Dominion, 201, 42, 85, 25, 10, 1, 9, 0, 1, 15, 16, 5, 3, 0, 1703, 14
10/04/2014, Southern Mississippi, 111, 34, 426, 55, 36, 6, 48, 1, 1, 30, 19, 12, 0, 0, 1934, 31, Middle Tennessee, 239, 39, 344, 27, 22, 6, 49, 1, 0, 22, 12, 6, 2, 1, 1666, 37
