Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-04, N Illinois, 124, 54, 277, 25, 16, 6, 55, 1, 1, 18, 19, 6, 1, 1, 1813, 32, Toledo, 291, 50, 136, 33, 15, 4, 33, 1, 2, 21, 19, 9, 3, 2, 1787, 27
2015-11-05, Ohio, 299, 56, 244, 41, 21, 7, 75, 0, 2, 34, 19, 9, 3, 1, 2226, 24, Bowling Green, 182, 30, 399, 39, 29, 9, 66, 0, 0, 29, 12, 8, 0, 0, 1374, 62
2015-11-06, Arkansas State, 309, 52, 208, 25, 14, 2, 5, 0, 0, 24, 16, 7, 0, 0, 1920, 40, Appalachian St, 108, 30, 357, 36, 23, 6, 64, 2, 1, 18, 15, 5, 1, 1, 1680, 27
2015-11-06, Ball State, 74, 25, 78, 27, 12, 4, 45, 0, 1, 7, 13, 2, 1, 0, 1198, 7, W Michigan, 358, 56, 353, 27, 20, 6, 62, 1, 0, 31, 15, 8, 3, 3, 2402, 54
2015-11-06, Baylor, 103, 34, 419, 33, 23, 11, 119, 0, 0, 20, 14, 5, 3, 3, 1319, 31, Kansas State, 258, 48, 172, 23, 13, 7, 39, 1, 2, 24, 11, 4, 3, 2, 2281, 24
2015-11-06, Buffalo, 116, 35, 190, 39, 25, 3, 26, 0, 1, 20, 16, 5, 2, 2, 2031, 18, Kent State, 106, 31, 155, 31, 19, 3, 45, 0, 1, 17, 13, 3, 1, 0, 1569, 17
2015-11-06, Miss St, 127, 36, 303, 41, 27, 2, 18, 2, 0, 23, 16, 8, 1, 0, 1778, 31, Missouri, 215, 45, 107, 26, 11, 6, 38, 0, 2, 16, 16, 5, 2, 0, 1822, 13
2015-11-06, Nevada, 292, 50, 206, 17, 12, 10, 78, 0, 1, 18, 14, 5, 1, 1, 2178, 30, Fresno State, 126, 29, 154, 35, 17, 9, 58, 1, 3, 18, 14, 5, 3, 2, 1422, 16
2015-11-07, Akron, 155, 41, 174, 27, 15, 6, 65, 1, 2, 18, 17, 7, 1, 1, 2034, 17, UMass, 88, 32, 173, 44, 19, 2, 27, 0, 2, 19, 15, 3, 4, 2, 1566, 13
2015-11-07, Arizona State, 202, 42, 256, 45, 28, 3, 25, 1, 1, 24, 20, 10, 4, 3, 1817, 24, Washington St, 15, 17, 497, 55, 36, 2, 20, 0, 1, 22, 15, 6, 3, 3, 1783, 38
2015-11-07, Arkansas, 163, 39, 442, 45, 33, 2, 20, 0, 0, 35, 13, 7, 2, 2, 2463, 53, Ole Miss, 222, 32, 368, 34, 24, 4, 22, 0, 0, 31, 10, 6, 1, 0, 1137, 52
2015-11-07, BYU, 36, 25, 293, 37, 23, 7, 84, 0, 1, 17, 13, 6, 0, 0, 1601, 17, San Jose State, 122, 38, 147, 26, 18, 2, 10, 1, 0, 18, 15, 6, 2, 1, 1999, 16
2015-11-07, UCLA, 284, 52, 390, 43, 28, 10, 71, 0, 0, 33, 18, 11, 1, 1, 2223, 41, Oregon State, 115, 33, 131, 24, 10, 5, 45, 1, 3, 12, 12, 2, 1, 0, 1377, 0
2015-11-07, UCF, 109, 40, 303, 43, 23, 8, 60, 2, 2, 22, 18, 7, 3, 2, 2140, 30, Tulsa, 275, 46, 150, 18, 10, 3, 38, 2, 2, 21, 13, 8, 0, 0, 1460, 45
2015-11-07, Cincinnati, 66, 18, 523, 51, 28, 11, 85, 1, 2, 24, 11, 3, 1, 0, 1347, 30, Houston, 266, 63, 161, 24, 16, 4, 40, 0, 2, 24, 19, 8, 2, 1, 2253, 33
2015-11-07, Colorado State, 228, 55, 120, 15, 11, 10, 101, 0, 1, 22, 11, 3, 2, 2, 2240, 26, Wyoming, 130, 34, 109, 21, 10, 9, 66, 3, 1, 14, 9, 2, 1, 0, 1360, 7
2015-11-07, UConn, 146, 42, 81, 19, 8, 4, 45, 0, 1, 9, 17, 3, 1, 1, 1978, 7, Tulane, 34, 25, 106, 40, 13, 2, 10, 0, 1, 9, 20, 5, 2, 2, 1622, 3
2015-11-07, Duke, 327, 44, 206, 40, 20, 8, 72, 1, 2, 30, 13, 6, 2, 2, 1777, 31, UNC, 167, 40, 537, 40, 28, 5, 39, 0, 0, 29, 14, 7, 3, 2, 1823, 66
2015-11-07, E Michigan, 103, 39, 89, 20, 7, 9, 54, 1, 1, 10, 16, 5, 0, 0, 1481, 13, Miami (OH), 291, 47, 150, 18, 13, 4, 30, 1, 1, 21, 13, 6, 2, 1, 2119, 28
2015-11-07, FAU, 174, 43, 185, 33, 14, 3, 24, 0, 0, 23, 16, 5, 7, 6, 1900, 19, W Kentucky, 229, 34, 280, 30, 25, 7, 85, 0, 1, 25, 11, 8, 2, 2, 1700, 35
2015-11-07, FSU, 197, 30, 164, 29, 16, 9, 65, 1, 1, 14, 12, 2, 1, 0, 1689, 13, Clemson, 215, 42, 297, 43, 28, 3, 32, 0, 0, 29, 18, 7, 1, 0, 1911, 23
2015-11-07, Hawaii, 191, 31, 187, 33, 16, 5, 52, 2, 1, 16, 13, 3, 3, 0, 1437, 21, UNLV, 289, 53, 258, 24, 15, 6, 60, 1, 1, 22, 13, 3, 1, 1, 2163, 41
2015-11-07, Idaho, 177, 45, 317, 39, 26, 3, 24, 2, 1, 27, 16, 9, 0, 0, 2186, 45, South Alabama, 286, 45, 114, 19, 11, 7, 71, 2, 0, 19, 12, 4, 1, 0, 1414, 52
2015-11-07, Illinois, 382, 41, 213, 38, 21, 8, 69, 0, 0, 29, 14, 5, 1, 1, 2016, 48, Purdue, 89, 28, 174, 47, 29, 3, 34, 0, 2, 17, 18, 6, 4, 2, 1584, 14
2015-11-07, Iowa, 234, 44, 233, 31, 19, 5, 55, 0, 0, 26, 14, 7, 1, 0, 2070, 35, Indiana, 227, 39, 180, 37, 16, 3, 35, 0, 1, 26, 17, 8, 2, 2, 1530, 27
2015-11-07, Kentucky, 79, 24, 101, 23, 9, 7, 58, 1, 2, 8, 12, 3, 1, 0, 1344, 3, Georgia, 300, 52, 90, 19, 10, 6, 60, 2, 0, 21, 13, 5, 2, 1, 2256, 27
2015-11-07, Marshall, 139, 45, 376, 59, 35, 11, 86, 0, 1, 30, 21, 9, 1, 0, 1898, 24, Mid Tennessee, 201, 51, 353, 35, 21, 7, 66, 2, 1, 27, 14, 2, 2, 1, 1702, 27
2015-11-07, New Mexico St, 230, 48, 297, 45, 24, 5, 37, 0, 0, 26, 23, 13, 3, 2, 1949, 31, Texas State, 113, 37, 287, 36, 21, 4, 30, 1, 2, 20, 15, 7, 2, 2, 1651, 21
2015-11-07, North Carolina St, 139, 33, 212, 27, 14, 5, 50, 1, 1, 12, 15, 4, 1, 0, 1706, 24, Boston College, 28, 34, 257, 37, 23, 3, 35, 1, 3, 16, 17, 5, 3, 1, 1894, 8
2015-11-07, North Texas, 82, 36, 234, 45, 25, 3, 35, 3, 1, 20, 17, 6, 5, 3, 1973, 13, LA Tech, 274, 36, 299, 27, 18, 3, 32, 2, 1, 25, 7, 4, 1, 1, 1627, 56
2015-11-07, UL Monroe, 114, 35, 262, 42, 24, 11, 84, 3, 3, 20, 16, 5, 2, 2, 1888, 14, Troy, 148, 35, 345, 36, 24, 5, 30, 0, 0, 20, 17, 9, 2, 0, 1712, 51
2015-11-07, Notre Dame, 175, 42, 262, 26, 19, 2, 20, 1, 0, 22, 14, 8, 1, 0, 2019, 42, Pitt, 175, 31, 223, 32, 12, 3, 25, 0, 1, 18, 14, 6, 1, 1, 1581, 30
2015-11-07, Penn State, 125, 30, 237, 41, 22, 9, 70, 1, 1, 17, 17, 4, 0, 0, 1841, 21, Northwestern, 227, 47, 169, 32, 16, 7, 80, 0, 1, 22, 17, 6, 0, 0, 1759, 23
2015-11-07, Rice, 90, 31, 230, 28, 14, 5, 42, 0, 0, 16, 13, 6, 1, 1, 1596, 21, UTEP, 161, 34, 231, 36, 18, 3, 16, 1, 0, 19, 15, 7, 1, 1, 2004, 24
