Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2019-08-24, Arizona, 178, 32, 361, 39, 22, 10, 88, 0, 2, 27, 11, 3, 0, 0, 1324, 38, Hawaii, 159, 30, 436, 48, 34, 7, 54, 2, 4, 31, 10, 5, 3, 2, 2276, 45
2019-08-24, Miami (FL), 87, 36, 214, 30, 19, 14, 118, 1, 0, 20, 14, 2, 2, 0, 2173, 20, Florida, 50, 28, 254, 27, 17, 9, 100, 2, 2, 17, 10, 2, 4, 4, 1427, 24
2019-08-29, Alabama St., 145, 32, 115, 32, 19, 6, 48, 1, 1, 12, 15, 3, 3, 1, 1689, 19, UAB, 176, 46, 114, 20, 8, 8, 72, 2, 0, 16, 13, 1, 1, 0, 1911, 24
2019-08-29, Georgia Tech, 157, 45, 137, 18, 7, 2, 10, 2, 2, 13, 16, 5, 2, 0, 1607, 14, Clemson, 411, 49, 221, 30, 18, 6, 43, 1, 2, 29, 12, 6, 2, 1, 1993, 52
2019-08-29, N Colorado, 110, 41, 177, 44, 26, 6, 50, 0, 2, 20, 20, 7, 4, 3, 2199, 18, San Jose State, 158, 33, 224, 31, 21, 8, 75, 1, 0, 22, 11, 5, 1, 1, 1401, 35
2019-08-29, Texas State, 8, 15, 211, 46, 29, 4, 24, 0, 4, 15, 15, 6, 0, 0, 1454, 7, Texas A&M, 246, 36, 232, 36, 23, 3, 30, 1, 1, 22, 11, 6, 0, 0, 2146, 41
2019-08-29, Kent State, 120, 40, 80, 24, 12, 5, 42, 2, 0, 11, 18, 5, 2, 1, 1537, 7, Arizona State, 171, 46, 284, 24, 15, 6, 50, 1, 0, 18, 16, 8, 0, 0, 2063, 30
2019-08-29, Wagner, 103, 21, 82, 23, 12, 10, 86, 0, 0, 12, 10, 1, 1, 1, 1447, 21, UConn, 234, 60, 158, 21, 14, 7, 68, 1, 1, 26, 13, 5, 2, 0, 2153, 24
2019-08-29, Florida A&M, 4, 25, 92, 36, 14, 12, 106, 0, 0, 8, 18, 3, 0, 0, 1737, 0, UCF, 338, 56, 356, 38, 23, 7, 65, 0, 0, 42, 16, 7, 3, 3, 1863, 62
2019-08-29, Morgan State, 46, 31, 24, 9, 3, 6, 43, 1, 0, 4, 12, 2, 0, 0, 1313, 3, Bowling Green, 326, 63, 294, 38, 25, 7, 70, 0, 1, 37, 17, 9, 3, 2, 2287, 46
2019-08-29, Gardner-Webb, 159, 35, 60, 17, 6, 8, 52, 1, 0, 11, 10, 1, 1, 1, 1341, 28, Charlotte, 322, 46, 186, 28, 18, 4, 25, 0, 3, 27, 10, 5, 2, 1, 2259, 49
2019-08-29, UCLA, 62, 36, 156, 26, 8, 9, 60, 2, 2, 12, 17, 6, 1, 0, 1293, 14, Cincinnati, 175, 49, 242, 26, 18, 10, 63, 1, 1, 23, 16, 8, 1, 0, 2307, 24
2019-08-29, Albany (N.Y.), 45, 22, 199, 29, 15, 4, 30, 1, 0, 13, 13, 3, 3, 2, 1402, 21, Cent Michigan, 244, 47, 285, 37, 27, 11, 87, 3, 0, 31, 13, 6, 3, 3, 2198, 38
2019-08-29, Utah, 262, 48, 106, 16, 13, 7, 64, 0, 0, 21, 12, 3, 2, 1, 2158, 30, BYU, 92, 22, 208, 33, 21, 7, 63, 1, 2, 14, 12, 6, 1, 0, 1442, 12
2019-08-29, FIU, 59, 26, 208, 34, 19, 4, 35, 1, 1, 16, 12, 5, 1, 0, 1578, 14, Tulane, 350, 49, 195, 19, 15, 12, 103, 1, 0, 28, 12, 7, 0, 0, 2022, 42
2019-08-29, Robert Morris, 148, 45, 92, 9, 7, 8, 69, 1, 0, 11, 15, 6, 1, 1, 1969, 10, Buffalo, 285, 47, 69, 10, 5, 4, 35, 1, 0, 21, 11, 7, 0, 0, 1631, 38
2019-08-29, South Dakota St, 174, 34, 193, 26, 13, 4, 32, 1, 1, 23, 9, 3, 2, 1, 1668, 21, Minnesota, 132, 42, 176, 18, 13, 3, 40, 0, 1, 17, 13, 6, 1, 1, 1932, 28
2019-08-29, Cent Arkansas, 20, 29, 404, 29, 21, 6, 46, 0, 0, 17, 13, 5, 2, 1, 1489, 35, W Kentucky, 184, 35, 304, 39, 26, 6, 49, 0, 2, 22, 16, 9, 3, 0, 2111, 28
